,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.6495,0.42662,0.28298,0.61702,0.33706,0.27226
1,1.0,0.55225,0.4909,0.32577,0.57969,0.38808,0.21245
2,2.0,0.51484,0.52589,0.35142,0.55933,0.4354,0.36647
3,3.0,0.49334,0.53937,0.36451,0.52963,0.5423,0.40772
4,4.0,0.47431,0.55515,0.37514,0.55542,0.5389,0.30584
5,5.0,0.45889,0.56784,0.38916,0.52482,0.50769,0.24619
6,6.0,0.44711,0.57285,0.39489,0.54584,0.52898,0.26413
7,7.0,0.44141,0.58626,0.40534,0.53883,0.55209,0.2579
8,8.0,0.43227,0.5886,0.40921,0.53605,0.55977,0.27349
9,9.0,0.42297,0.59424,0.41698,0.51892,0.53187,0.27138
10,10.0,0.41707,0.60107,0.42299,0.53648,0.54327,0.25778
11,11.0,0.4077,0.60722,0.42803,0.52471,0.49921,0.30762
12,12.0,0.40148,0.61619,0.43233,0.55764,0.48952,0.26144
13,13.0,0.3999,0.6174,0.43741,0.51213,0.53467,0.25541
14,14.0,0.39069,0.62313,0.44207,0.52167,0.51902,0.33765
15,15.0,0.39083,0.62714,0.44454,0.52574,0.51461,0.28
16,16.0,0.38367,0.63011,0.45073,0.51155,0.53113,0.27093
17,17.0,0.37807,0.63442,0.45366,0.50676,0.53295,0.27729
18,18.0,0.37155,0.63613,0.45545,0.52315,0.50792,0.2789
19,19.0,0.36782,0.64363,0.46365,0.54128,0.53035,0.33703
20,20.0,0.36415,0.64661,0.46352,0.51831,0.55074,0.34024
21,21.0,0.36047,0.64842,0.46745,0.55239,0.54476,0.2935
22,22.0,0.36014,0.6513,0.47117,0.52143,0.6172,0.24902
23,23.0,0.35576,0.64785,0.47231,0.51358,0.50246,0.26935
24,24.0,0.34975,0.65502,0.47683,0.50545,0.50562,0.26284
25,25.0,0.34784,0.65995,0.47847,0.50339,0.52726,0.34234
26,26.0,0.3428,0.66041,0.48283,0.5048,0.63768,0.33685
27,27.0,0.34317,0.66006,0.48167,0.50585,0.49841,0.27476
28,28.0,0.33883,0.66348,0.48579,0.51182,0.56404,0.28968
29,29.0,0.33938,0.66468,0.49023,0.51735,0.48332,0.27057
30,30.0,0.33472,0.66902,0.49345,0.51905,0.52966,0.29336
31,31.0,0.33053,0.66841,0.4949,0.49355,0.51782,0.28197
32,32.0,0.33005,0.67209,0.49666,0.5232,0.48941,0.22194
33,33.0,0.32568,0.67216,0.4974,0.51031,0.48141,0.25982
34,34.0,0.32601,0.67229,0.50056,0.51317,0.69346,0.34565
35,35.0,0.3189,0.6781,0.50751,0.51946,0.51543,0.27192
36,36.0,0.32023,0.68076,0.50759,0.51722,0.56979,0.35754
37,37.0,0.31756,0.67861,0.50843,0.5219,0.48646,0.26657
38,38.0,0.31379,0.68286,0.50938,0.51656,0.53989,0.27841
39,39.0,0.31373,0.68205,0.51204,0.52197,0.65124,0.2263
40,40.0,0.31104,0.68439,0.51632,0.51962,0.67101,0.28505
41,41.0,0.30988,0.68591,0.51549,0.53323,0.52501,0.34079
42,42.0,0.30555,0.68707,0.52246,0.53783,0.53945,0.27447
43,43.0,0.30579,0.68731,0.52025,0.52689,0.56811,0.25253
44,44.0,0.30624,0.69014,0.52001,0.49294,0.65017,0.33433
45,45.0,0.3009,0.69174,0.52457,0.52059,0.52649,0.33751
46,46.0,0.29978,0.69652,0.52839,0.5313,0.56578,0.25195
47,47.0,0.3015,0.69316,0.52556,0.53498,0.45854,0.20741
48,48.0,0.29789,0.69414,0.52921,0.52214,0.57271,0.31012
49,49.0,0.29598,0.6984,0.53342,0.50653,0.56329,0.34094
50,50.0,0.29278,0.69988,0.53663,0.52204,0.67598,0.35243
51,51.0,0.29458,0.69963,0.53225,0.51483,0.52201,0.22969
52,52.0,0.29183,0.7014,0.53755,0.51313,0.51616,0.28587
53,53.0,0.29,0.70077,0.53884,0.51314,0.49868,0.31482
54,54.0,0.28837,0.70475,0.54071,0.55837,0.48834,0.22924
55,55.0,0.28782,0.70665,0.54066,0.5569,0.66828,0.27075
56,56.0,0.28799,0.7056,0.54084,0.53429,0.55677,0.25051
57,57.0,0.28348,0.70852,0.54847,0.51299,0.62848,0.24038
58,58.0,0.28467,0.71076,0.54463,0.52076,0.50242,0.34408
59,59.0,0.27917,0.7095,0.54766,0.51528,0.49177,0.27398
60,60.0,0.27914,0.71151,0.55006,0.51164,0.49547,0.32981
61,61.0,0.2794,0.71278,0.55085,0.54222,0.50232,0.24754
62,62.0,0.27684,0.71166,0.55233,0.49575,0.53645,0.3216
63,63.0,0.27576,0.71171,0.55531,0.52774,0.5727,0.30352
64,64.0,0.27573,0.7152,0.55521,0.5172,0.69044,0.36546
65,65.0,0.26951,0.71701,0.55777,0.52856,0.59951,0.48368
66,66.0,0.27462,0.71552,0.55664,0.53427,0.56322,0.3342
67,67.0,0.26902,0.71716,0.55933,0.53751,0.49844,0.40674
68,68.0,0.26778,0.72049,0.56041,0.50856,0.57446,0.37058
69,69.0,0.26794,0.71862,0.5617,0.51407,0.54286,0.2855
70,70.0,0.26657,0.72203,0.56157,0.53845,0.66661,0.31315
71,71.0,0.26597,0.72243,0.56347,0.5261,0.51727,0.27548
72,72.0,0.26332,0.72069,0.56504,0.53285,0.74778,0.35651
73,73.0,0.26533,0.7246,0.56987,0.51498,0.52219,0.31017
74,74.0,0.26008,0.72699,0.57256,0.51188,0.58283,0.33645
75,75.0,0.26303,0.72484,0.56806,0.52587,0.72001,0.29184
76,76.0,0.25831,0.7268,0.5736,0.52443,0.53378,0.30588
77,77.0,0.25717,0.72996,0.57491,0.56379,0.52436,0.33067
78,78.0,0.25713,0.72739,0.57497,0.5341,0.56109,0.31192
